"IF YOU HAVE A COURSE THAT YOU CAN NOT FIND THE SYLLABUS FOR, PLEASE ADD IT TO THE OTHER SHEET",,,,,,,,,,,,,,,,,,,,
,BLUE - UD,ORANGE - UT,RED - UWM,,,,,,,,,,,,,,,,,
,FEATURES,,,,,,,,,,,,OUTPUTS (% Of Students in Each Bucket),,,,,,"""Average Grade""","*the average grade in the class is estimated by assuming A to be a 95, B is an 85, C is 75, D is a 65, and F is a 30"
Course Code,# HWs,HW Weight,# Project Assignments,Project Weight,# Final exam,Final Weight,# Other Exams,Exam Weight,# Quizzes,Quiz Weight,Attend/Misc Weight,TOTAL SUM (CHECK THAT IT'S 1),Class F,Class D,Class C,Class B,Class A,TOTAL SUM % (CHECK THAT IT'S 100%),,
EGGG101 - Intro Engineering,5,0.20,10,0.60,0,0.00,0,0.00,30,0.20,0.00,1.00,0.48,1.58,4.11,15.03,78.80,100.00,91.89,
MEEG332 - 18S - Fluids 2,8,0.32,4,0.16,1,0.20,0,0.00,4,0.32,0.00,1.00,1.20,4.82,19.28,39.76,34.94,100.00,84.94,
MEEG332 - 17S - Fluids 2,8,0.32,4,0.16,1,0.20,0,0.00,4,0.32,0.00,1.00,0.00,5.97,16.42,41.79,35.82,100.00,85.75,
MEEG331 - 23F - Fluids 1,8,0.30,6,0.20,0,0.00,3,0.45,0,0.00,0.05,1.00,3.17,6.35,16.67,48.41,25.40,100.00,82.86,
MEEG331 - 22F - Fluids 1,16,0.50,6,0.20,0,0.00,3,0.30,0,0.00,0.00,1.00,2.76,2.07,32.41,45.52,17.24,100.00,81.55,
MEEG331 - 21F - Fluids 1,9,0.36,0,0.00,0,0.00,4,0.48,35,0.16,0.00,1.00,2.18,3.65,18.25,40.88,35.04,100.00,84.75,
MEEG210 - 19F - Statics,11,0.25,5,0.15,1,0.20,3,0.30,0,0.00,0.10,1.00,4.22,6.63,19.88,35.54,33.73,100.00,82.74,
MEEG210 - 20F - Statics,11,0.25,4,0.15,1,0.20,3,0.30,24,0.10,0.00,1.00,3.90,6.49,23.38,35.71,30.52,100.00,82.27,
MEEG210 - 21F - Statics,10,0.25,9,0.15,1,0.20,3,0.30,25,0.10,0.00,1.00,4.00,7.33,12.67,35.33,40.67,100.00,84.13,
MEEG210 - 22F - Statics,10,0.25,6,0.15,1,0.20,3,0.30,24,0.10,0.00,1.00,3.76,2.26,11.28,36.84,45.86,100.00,85.94,
MEEG211 - 23S - Dynamics,10,0.25,1,0.10,1,0.20,3,0.30,24,0.15,0.00,1.00,0.00,0.79,18.11,42.52,38.58,100.00,86.89,
MEEG211 - 24S - Dynamics,10,0.25,1,0.10,1,0.20,3,0.30,28,0.15,0.00,1.00,3.10,3.10,13.18,40.31,40.31,100.00,85.39,
MEEG304 - Machine Design,12,0.45,11,0.50,0,0.00,0,0.00,11,0.05,0.00,1.00,0.82,0.00,4.10,18.03,77.05,100.00,91.84,
CHEM103 - Gen. Chem,8,0.15,1,0.10,1,0.22,3,0.42,0,0.00,0.11,1.00,2.87,9.20,29.89,35.63,22.41,100.00,80.83,
MATH - Rakesh,4,0.20,0,0.00,0,0.00,4,0.80,0,0.00,0.00,1.00,7.15,0.00,28.57,28.57,35.71,100.00,81.78,
MATH C1 - MADHUKA,6,0.15,0,0.00,1,0.25,2,0.40,3,0.15,0.05,1.00,6.90,3.45,6.90,37.93,44.82,100.00,84.31,
MATH C2 - MADHUKA,6,0.15,0,0.00,1,0.25,2,0.40,3,0.15,0.05,1.00,1.72,1.72,13.79,31.03,51.74,100.00,87.51,
ME266K - 2014 Fall,0,0,11,0.95,0,0,0,0,0,0,0.05,1.00,0.00,0.00,0.00,37.04,62.96,100.00,91.30,
ME374F - 2014 Fall,11,0.25,1,0.2,0,0,2,0.5,0,0,0.05,1.00,0.00,0.00,0.00,63.64,36.36,100.00,88.64,
ME279M - 2014 Fall,0,0,3,0.84,0,0,0,0,0,0,0.16,1.00,0.00,0.00,0.00,11.11,88.89,100.00,93.89,
ME326 - 2014 Fall,14,0.1,0,0,1,0.3,3,0.5,14,0.1,0.00,1.00,0.95,0.47,3.32,15.64,79.62,100.00,92.01,
ME359 - 2014 Fall,10,0.15,0,0,1,0.3,2,0.4,0,0,0.15,1.00,0.00,0.00,17.39,34.78,47.83,100.00,88.04,
ME359 - 2015 Spring,10,0.15,0,0,1,0.3,2,0.4,0,0,0.15,1.00,0.00,0.00,5.41,37.84,56.75,100.00,90.13,
ME330 - 2015 Spring - SCHNEIDER,11,0.15,0,0,1,0.2125,3,0.6375,0,0,0.00,1.00,0.00,0.00,26.67,60.00,13.33,100.00,83.67,
ME340 - 2015 Spring,11,0.5,0,0,0,0,3,0.5,0,0,0.00,1.00,1.31,0.00,1.96,11.76,84.97,100.00,92.58,
ME338 - 2015 Spring,14,0.1,2,0.15,1,0.35,1,0.2,4,0.15,0.05,1.00,0.71,0.00,13.57,51.43,34.29,100.00,86.68,
CHE210 - 2018 Spring,13,0.10,0,0.00,1,0.25,2,0.40,15,0.15,0.10,1.00,2.74,5.48,41.10,35.62,15.06,100.00,79.79,
CHE319 - 2018 Spring,0,0.00,0,0.00,1,0.20,3,0.55,15,0.15,0.10,1.00,1.56,10.94,18.75,42.19,26.56,100.00,82.74,
CHE360 - 2018 Spring - M. BALDEA,12,0.05,0,0.00,0,0.00,3,0.80,15,0.15,0.00,1.00,1.39,11.11,33.33,36.11,18.06,100.00,80.49,
CHE360 - 2018 Spring - T. EDISON,10,0.19,0,0.00,0,0.00,3,0.60,7,0.21,0.00,1.00,1.96,1.96,3.92,23.53,68.63,100.00,90.00,
CE341 - 16S - M. KIRISITS,8,0.08,1,0.15,1,0.30,2,0.44,0,0.00,0.03,1.00,0.00,11.37,9.09,36.36,43.18,100.00,86.14,
CE329 - 16S,13,0.27,0,0.00,1,0.30,2,0.38,0,0.00,0.05,1.00,3.57,3.57,17.86,32.14,42.86,100.00,84.82,
COE347 - 18S Bisetti Sec 12875,12,0.40,2,0.30,0,0.00,2,0.30,0,0.00,0.00,1.00,0.00,4.17,0.00,41.67,54.17,100.00,89.58,
COE311K - 23F - Loveland Sec 15065,5,0.50,0,0.00,0,0.00,2,0.50,0,0.00,0.00,1.00,1.61,0.00,17.74,22.58,58.06,100.00,88.15,
