# HWs,HW Weight,# Project Assignments,Project Weight,# Final exam,Final Weight
5,0.20,10,0.60,0,0.00
8,0.32,4,0.16,1,0.20
8,0.32,4,0.16,1,0.20
8,0.30,6,0.20,0,0.00
16,0.50,6,0.20,0,0.00
9,0.36,0,0.00,0,0.00
11,0.25,5,0.15,1,0.20
11,0.25,4,0.15,1,0.20
10,0.25,9,0.15,1,0.20
10,0.25,6,0.15,1,0.20
10,0.25,1,0.10,1,0.20
10,0.25,1,0.10,1,0.20
12,0.45,11,0.50,0,0.00
8,0.15,1,0.10,1,0.22
4,0.20,0,0.00,0,0.00
6,0.15,0,0.00,1,0.25
6,0.15,0,0.00,1,0.25
0,0,11,0.95,0,0
11,0.25,1,0.2,0,0
0,0,3,0.84,0,0
14,0.1,0,0,1,0.3
10,0.15,0,0,1,0.3
10,0.15,0,0,1,0.3
11,0.15,0,0,1,0.2125
11,0.5,0,0,0,0
14,0.1,2,0.15,1,0.35
13,0.10,0,0.00,1,0.25
0,0.00,0,0.00,1,0.20
12,0.05,0,0.00,0,0.00
10,0.19,0,0.00,0,0.00
8,0.08,1,0.15,1,0.30
13,0.27,0,0.00,1,0.30
12,0.40,2,0.30,0,0.00
5,0.50,0,0.00,0,0.00
21,0.70,1,0.30,0,0.00
15,0.15,3,0.30,1,0.20
15,0.15,3,0.30,1,0.20
15,0.15,3,0.30,1,0.20
7,0.50,0,0.00,1,0.30
7,0.55,0,0.00,0,0.00
11,0.22,0,0.00,1,0.24
0,0.00,4,0.60,0,0.00
11,0.60,1,0.40,0,0.00
15,0.05,1,0.35,0,0.00
13,0.25,0,0.00,1,0.35
14,0.15,0,0.00,1,0.25
6,0.15,5,0.30,0,0.00
17,0.15,0,0.00,1,0.30
8,0.30,0,0.00,1,0.30
7,0.10,0,0.00,1,0.45
12,0.65,3,0.15,0,0.00
7,0.15,0,0.00,1,0.35
12,0.15,0,0.00,1,0.30
12,0.20,0,0.00,1,0.40
9,0.10,0,0.00,1,0.40
9,0.10,0,0.00,1,0.40
7,0.10,0,0.00,1,0.30
10,0.20,1,0.10,1,0.30
10,0.20,1,0.10,1,0.30
9,0.08,1,0.40,0,0.00
13,0.20,0,0.00,1,0.35
0,0.00,0,0.00,1,0.30
0,0.00,0,0.00,1,0.35
11,0.10,0,0.00,1,0.30
10,0.15,0,0.00,1,0.30
12,0.15,0,0.00,1,0.35
0,0.00,0,0.00,1,0.30
12,0.10,3,0.15,1,0.25
12,0.20,0,0.00,1,0.35
0,0.00,0,0.00,1,0.30
11,0.10,0,0.00,1,0.30
21,0.40,0,0.00,0,0.00
9,0.10,0,0.00,1,0.40
12,0.10,3,0.15,1,0.25
21,0.40,0,0.00,0,0.00
12,0.15,0,0.00,1,0.35
10,0.15,0,0.00,1,0.30
10,0.10,0,0.00,1,0.35
38,0.49,2,0.51,0,0.00
6,0.15,2,0.25,0,0.00
5,0.30,4,0.45,0,0.00
0,0.00,3,1.00,0,0.00
12,0.20,1,0.35,0,0.00
4,0.40,1,0.20,0,0.00
12,0.20,1,0.30,0,0.00
12,0.15,0,0.00,1,0.20
14,0.20,1,0.10,1,0.30
5,0.50,4,0.40,0,0.00
0,0.00,1,0.50,0,0.00
13,0.20,3,0.55,0,0.00
8,0.14,0,0.00,1,0.25
12,0.05,0,0.00,1,0.30
9,0.27,5,0.49,0,0.00
11,0.20,0,0.00,1,0.40
12,0.15,3,0.15,1,0.25
13,0.20,5,0.50,0,0.00
14,0.15,0,0.00,1,0.35
12,0.20,0,0.00,1,0.20
12,0.20,0,0.00,1,0.20
13,0.10,0,0.00,1,0.25
9,0.30,1,0.15,1,0.20
9,0.30,1,0.15,1,0.20
9,0.30,1,0.15,1,0.20
END,END,END,END,END,END
