HW Weight,# Project Assignments,Project Weight,# Final exam,Final Weight,# Other Exams
0.20,10,0.60,0,0.00,0
0.32,4,0.16,1,0.20,0
0.32,4,0.16,1,0.20,0
0.30,6,0.20,0,0.00,3
0.50,6,0.20,0,0.00,3
0.36,0,0.00,0,0.00,4
0.25,5,0.15,1,0.20,3
0.25,4,0.15,1,0.20,3
0.25,9,0.15,1,0.20,3
0.25,6,0.15,1,0.20,3
0.25,1,0.10,1,0.20,3
0.25,1,0.10,1,0.20,3
0.45,11,0.50,0,0.00,0
0.15,1,0.10,1,0.22,3
0.20,0,0.00,0,0.00,4
0.15,0,0.00,1,0.25,2
0.15,0,0.00,1,0.25,2
0,11,0.95,0,0,0
0.25,1,0.2,0,0,2
0,3,0.84,0,0,0
0.1,0,0,1,0.3,3
0.15,0,0,1,0.3,2
0.15,0,0,1,0.3,2
0.15,0,0,1,0.2125,3
0.5,0,0,0,0,3
0.1,2,0.15,1,0.35,1
0.10,0,0.00,1,0.25,2
0.00,0,0.00,1,0.20,3
0.05,0,0.00,0,0.00,3
0.19,0,0.00,0,0.00,3
0.08,1,0.15,1,0.30,2
0.27,0,0.00,1,0.30,2
0.40,2,0.30,0,0.00,2
0.50,0,0.00,0,0.00,2
0.70,1,0.30,0,0.00,0
0.15,3,0.30,1,0.20,1
0.15,3,0.30,1,0.20,1
0.15,3,0.30,1,0.20,1
0.50,0,0.00,1,0.30,1
0.55,0,0.00,0,0.00,2
0.22,0,0.00,1,0.24,2
0.00,4,0.60,0,0.00,0
0.60,1,0.40,0,0.00,0
0.05,1,0.35,0,0.00,3
0.25,0,0.00,1,0.35,2
0.15,0,0.00,1,0.25,2
0.15,5,0.30,0,0.00,3
0.15,0,0.00,1,0.30,2
0.30,0,0.00,1,0.30,2
0.10,0,0.00,1,0.45,2
0.65,3,0.15,0,0.00,0
0.15,0,0.00,1,0.35,0
0.15,0,0.00,1,0.30,2
0.20,0,0.00,1,0.40,2
0.10,0,0.00,1,0.40,2
0.10,0,0.00,1,0.40,2
0.10,0,0.00,1,0.30,2
0.20,1,0.10,1,0.30,2
0.20,1,0.10,1,0.30,2
0.08,1,0.40,0,0.00,2
0.20,0,0.00,1,0.35,3
0.00,0,0.00,1,0.30,2
0.00,0,0.00,1,0.35,2
0.10,0,0.00,1,0.30,3
0.15,0,0.00,1,0.30,2
0.15,0,0.00,1,0.35,2
0.00,0,0.00,1,0.30,2
0.10,3,0.15,1,0.25,2
0.20,0,0.00,1,0.35,3
0.00,0,0.00,1,0.30,2
0.10,0,0.00,1,0.30,3
0.40,0,0.00,0,0.00,3
0.10,0,0.00,1,0.40,2
0.10,3,0.15,1,0.25,2
0.40,0,0.00,0,0.00,3
0.15,0,0.00,1,0.35,3
0.15,0,0.00,1,0.30,2
0.10,0,0.00,1,0.35,2
0.49,2,0.51,0,0.00,0
0.15,2,0.25,0,0.00,3
0.30,4,0.45,0,0.00,0
0.00,3,1.00,0,0.00,0
0.20,1,0.35,0,0.00,0
0.40,1,0.20,0,0.00,2
0.20,1,0.30,0,0.00,2
0.15,0,0.00,1,0.20,3
0.20,1,0.10,1,0.30,2
0.50,4,0.40,0,0.00,0
0.00,1,0.50,0,0.00,2
0.20,3,0.55,0,0.00,3
0.14,0,0.00,1,0.25,3
0.05,0,0.00,1,0.30,3
0.27,5,0.49,0,0.00,0
0.20,0,0.00,1,0.40,2
0.15,3,0.15,1,0.25,3
0.20,5,0.50,0,0.00,3
0.15,0,0.00,1,0.35,2
0.20,0,0.00,1,0.20,2
0.20,0,0.00,1,0.20,2
0.10,0,0.00,1,0.25,2
0.30,1,0.15,1,0.20,2
0.30,1,0.15,1,0.20,2
0.30,1,0.15,1,0.20,2
END,END,END,END,END,END
