% FAIL,% PASS
2.06,97.94
6.02,93.98
5.97,94.03
9.52,90.48
5.48,94.52
9.15,90.85
11.91,88.09
13.75,86.25
14.20,85.80
8.75,91.25
2.33,97.67
6.93,93.07
2.42,97.58
12.07,87.93
7.15,92.85
10.35,89.65
3.44,96.56
0.00,100.00
0.00,100.00
0.00,100.00
1.42,98.58
0.00,100.00
0.00,100.00
0.00,100.00
1.31,98.69
0.71,99.29
8.22,91.78
12.50,87.50
12.50,87.50
3.92,96.08
11.37,88.63
7.14,92.86
4.17,95.83
1.61,98.39
5.66,94.34
10.74,89.26
5.13,94.87
9.15,90.85
2.50,97.50
0.00,100.00
7.56,92.44
0.00,100.00
0.00,100.00
0.00,100.00
24.24,75.76
6.45,93.55
0.00,100.00
6.67,93.33
3.33,96.67
8.00,92.00
0.00,100.00
1.27,98.73
6.67,93.33
3.66,96.34
0.00,100.00
3.37,96.63
1.41,98.59
8.33,91.67
5.00,95.00
0.00,100.00
7.69,92.31
4.44,95.56
0.00,100.00
5.34,94.66
3.13,96.88
1.64,98.36
0.00,100.00
1.17,98.83
0.70,99.30
4.60,95.40
9.23,90.77
0.76,99.24
6.52,93.48
3.33,96.67
1.28,98.72
0.00,100.00
0.00,100.00
0.00,100.00
4.54,95.46
0.78,99.22
0.00,100.00
7.69,92.31
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.60,99.40
1.49,98.51
2.48,97.52
7.70,92.30
8.77,91.23
3.36,96.64
0.00,100.00
1.03,98.97
0.86,99.14
1.85,98.15
4.29,95.71
2.63,97.37
8.22,91.78
4.20,95.80
15.86,84.14
10.80,89.20
6.94,93.06
END,END
